position_batting,player,matches_batting,innings_x,runs_batting,average_x,strike_rate_x,fours_x,sixes_x,position_bowling,matches_bowling,overs_x,balls_x,wickets_x,economy_x,runs_bowling,position_x,batsman,matches_x,innings_y,runs_x,average_y,strike_rate_y,fours_y,sixes_y,position_y,bowler,matches_y,overs_y,balls_y,wickets_y,economy_y,runs_y,team,year,player_name
1.0,Rahmanullah Gurbaz,8.0,8.0,281.0,35.12,124.34,18.0,16.0,,,,,,,,1.0,Rahmanullah Gurbaz,8.0,8.0,281.0,35.12,124.34,18.0,16.0,,,,,,,,,Afghanistan,2021.0,Rahmanullah Gurbaz
1.0,Rahmanullah Gurbaz,8.0,8.0,281.0,35.12,124.34,18.0,16.0,,,,,,,,1.0,Rahmanullah Gurbaz,8.0,8.0,281.0,35.12,124.34,18.0,16.0,,,,,,,,,Afghanistan,2022.0,Rahmanullah Gurbaz
1.0,Rahmanullah Gurbaz,8.0,8.0,281.0,35.12,124.34,18.0,16.0,,,,,,,,1.0,Rahmanullah Gurbaz,8.0,8.0,281.0,35.12,124.34,18.0,16.0,,,,,,,,,Afghanistan,2024.0,Rahmanullah Gurbaz
2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,,India,2007.0,Rohit Sharma
2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,,India,2009.0,Rohit Sharma
2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,,India,2010.0,Rohit Sharma
2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,,India,2012.0,Rohit Sharma
2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,,India,2014.0,Rohit Sharma
2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,,India,2016.0,Rohit Sharma
2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,2.0,Rohit Sharma,8.0,8.0,257.0,36.71,156.71,24.0,15.0,,,,,,,,,India,2021.0,Rohit Sharma
